s_id,s_name,phone_number,email,dep_name,birth_date,learning_year,d_name
8235167,Micki Trusslove,390-487-1999,mtrusslove0@census.gov,'math',6/21/1996,2,Trusslove
3250098,Shoshana Pargent,180-916-8580,spargent1@last.fm,'computer science',1/24/2009,5,Pargent
7612413,Gertrud Hellcat,759-259-4658,ghellcat2@deliciousdays.com,'anthropology',3/17/1993,4,Hellcat
8490256,Margo Sorensen,865-515-8346,msorensen3@wiley.com,'art',4/21/1965,1,Sorensen
8469880,Tome Guswell,370-394-7133,tguswell4@deviantart.com,'history',12/21/1996,3,Guswell
7950665,Tallie Danilyuk,490-934-6115,tdanilyuk5@blogspot.com,'geographics',11/22/1965,5,Danilyuk
4339385,Robina Grealish,450-551-1780,rgrealish6@over-blog.com,'biology',12/11/1968,4,Grealish
7040883,Jarib Bleythin,530-574-2158,jbleythin7@fc2.com,'cardiology',6/16/1974,2,Bleythin
3778854,Lance Peppett,349-193-0588,lpeppett8@etsy.com,'chemistry',10/4/1995,2,Peppett
3280950,Vanny Kyston,983-526-5881,vkyston9@time.com,'physics',3/9/1960,4,Kyston
5088865,Budd Scanlin,128-995-6135,bscanlina@disqus.com,'astronomy',2/7/2008,4,Scanlin
6510817,Maggy Lockyer,125-417-3250,mlockyerb@un.org,'ecology',3/23/1995,4,Lockyer
6343009,Doralynne Cranstone,180-889-9187,dcranstonec@forbes.com,'economics',1/25/2005,1,Cranstone
9086454,Douglas Kobus,347-346-2307,dkobusd@wired.com,'english',9/27/1981,4,Kobus
9733894,Bellina Dulson,227-319-3969,bdulsone@independent.co.uk,'engineering',8/12/2000,4,Dulson
4001053,Freeman Greep,457-344-2916,fgreepf@usgs.gov,'neurology',8/10/1963,2,Greep
8966901,Garvey Caustic,420-315-6143,gcausticg@4shared.com,'oncology',10/27/2003,1,Caustic
2784411,Hymie Rosellini,242-102-2124,hrosellinih@netscape.com,'theatre',8/7/1978,5,Rosellini
5058356,Murdoch Waghorne,401-332-3401,mwaghornei@paypal.com,'psychology',12/20/1986,1,Waghorne
7991824,Gabbi Paudin,739-826-6165,gpaudinj@msn.com,'sociology',8/20/1981,1,Paudin
5695294,Jephthah Mosey,591-277-0146,jmoseyk@webs.com,'math',12/18/1978,4,Mosey
3103014,Marcellina Skunes,205-823-7991,mskunesl@printfriendly.com,'computer science',4/21/1972,4,Skunes
1890437,Nessy Pfaff,201-906-0621,npfaffm@naver.com,'anthropology',3/8/1976,1,Pfaff
9993106,Bella Owtram,814-441-5978,bowtramn@e-recht24.de,'art',8/5/1991,5,Owtram
9193348,Kimberlyn Dubber,346-179-4725,kdubbero@uol.com.br,'history',3/24/2004,5,Dubber
9964383,Coop Emmanuel,206-991-3800,cemmanuelp@yellowpages.com,'geographics',11/1/1999,1,Emmanuel
6106842,Virginie Cooling,470-458-2809,vcoolingq@paypal.com,'biology',12/31/1975,1,Cooling
8477996,Iris Cogan,683-492-2545,icoganr@economist.com,'cardiology',9/2/2002,5,Cogan
5340902,Cross Dewing,413-549-5747,cdewings@redcross.org,'chemistry',1/5/1970,1,Dewing
3527532,Robby Mucklestone,987-667-4307,rmucklestonet@bloglovin.com,'physics',10/17/2004,2,Mucklestone
1364977,Deina Buckham,226-867-6182,dbuckhamu@sakura.ne.jp,'astronomy',12/23/2004,1,Buckham
4713853,Kellia O'Hartnett,944-594-5490,kohartnettv@edublogs.org,'ecology',12/30/1981,3,O'Hartnett
6038655,Collette Fishburn,308-298-0361,cfishburnw@soundcloud.com,'economics',10/3/1974,2,Fishburn
2508142,Bill Radnage,181-594-4772,bradnagex@wired.com,'english',3/14/1988,5,Radnage
6953170,Alvy Dudhill,698-454-8016,adudhilly@g.co,'engineering',12/24/1992,2,Dudhill
3540619,Kial Maryet,802-718-4369,kmaryetz@hugedomains.com,'neurology',11/2/1969,1,Maryet
7447902,Gilberta Fewell,149-713-9157,gfewell10@lycos.com,'oncology',4/11/1962,2,Fewell
2016081,Sidonnie Nabbs,642-326-3393,snabbs11@php.net,'theatre',12/11/2004,4,Nabbs
6607073,Gilberte Nice,181-676-1057,gnice12@sphinn.com,'psychology',6/25/2005,3,Nice
8238702,Lillian Lampkin,284-643-1239,llampkin13@answers.com,'sociology',1/3/1988,5,Lampkin
1270493,Lainey Raise,720-627-2446,lraise14@dot.gov,'math',4/29/1966,1,Raise
8760281,Frankie Siburn,974-968-9481,fsiburn15@wix.com,'computer science',4/2/1963,5,Siburn
3838839,Richmond Nystrom,563-997-4126,rnystrom16@whitehouse.gov,'anthropology',2/25/1995,5,Nystrom
4440021,Delilah Heckner,478-629-3527,dheckner17@utexas.edu,'art',5/16/1961,2,Heckner
7509347,Martin Wilber,169-738-7893,mwilber18@virginia.edu,'history',8/17/1975,1,Wilber
6845988,Chrysler Shipperbottom,709-464-3103,cshipperbottom19@businesswire.com,'geographics',2/4/1976,3,Shipperbottom
5167988,Rayna Preene,533-256-3442,rpreene1a@merriam-webster.com,'biology',10/21/1965,1,Preene
2948643,Colin Coslett,276-745-1049,ccoslett1b@stanford.edu,'cardiology',8/8/1966,5,Coslett
5451736,Shell Hansie,329-842-8650,shansie1c@engadget.com,'chemistry',12/13/1989,5,Hansie
8247441,Randa Cudbird,565-557-6018,rcudbird1d@admin.ch,'physics',2/7/1964,4,Cudbird
4691342,Karlie Gallen,358-729-4702,kgallen1e@delicious.com,'astronomy',8/27/1993,4,Gallen
6728976,Brenda Hamson,462-672-6631,bhamson1f@webnode.com,'ecology',2/3/2000,1,Hamson
5448096,Farr Letchford,641-781-8952,fletchford1g@ning.com,'economics',6/15/2001,5,Letchford
1682023,Martino Inskipp,260-109-2549,minskipp1h@hao123.com,'english',2/16/1964,5,Inskipp
3337484,Camella Drysdale,584-361-2876,cdrysdale1i@is.gd,'engineering',1/16/1961,4,Drysdale
2999601,Duncan Inglish,948-467-3597,dinglish1j@patch.com,'neurology',7/4/1985,2,Inglish
4597748,Gonzales McGuane,791-358-7426,gmcguane1k@vimeo.com,'oncology',12/4/1985,5,McGuane
4138750,Dasie Mullord,281-112-0369,dmullord1l@deliciousdays.com,'theatre',8/27/1996,3,Mullord
5892055,Laurene Lesek,127-497-3756,llesek1m@hhs.gov,'psychology',7/24/1981,2,Lesek
9553676,Marthena Billing,587-898-6331,mbilling1n@slashdot.org,'sociology',4/22/1994,5,Billing
2108273,Derek MacCallam,949-590-3588,dmaccallam1o@mtv.com,'math',8/12/2000,2,MacCallam
7910812,Lennard Linggard,506-292-2073,llinggard1p@newyorker.com,'computer science',5/12/2009,5,Linggard
3615085,Blinnie Kettles,391-143-3671,bkettles1q@blogger.com,'anthropology',9/18/1997,3,Kettles
5161141,Alfie Sendley,550-486-0026,asendley1r@tamu.edu,'art',12/7/1989,2,Sendley
3406486,Essa Saul,869-645-3521,esaul1s@ft.com,'history',4/21/1965,3,Saul
2747492,Dennie Plampin,917-156-2749,dplampin1t@networkadvertising.org,'geographics',8/23/1982,1,Plampin
7143637,Jobina Ferschke,342-726-1627,jferschke1u@marriott.com,'biology',5/31/1989,5,Ferschke
3956340,Marshall Kingswell,148-708-9439,mkingswell1v@1und1.de,'cardiology',4/20/1983,4,Kingswell
1695546,Margaret Lampkin,900-601-0482,mlampkin1w@ebay.com,'chemistry',7/8/2005,3,Lampkin
8517351,Vicki Bradnum,628-942-9842,vbradnum1x@baidu.com,'physics',10/1/1981,2,Bradnum
5988977,Tiffy Bice,924-278-6069,tbice1y@cmu.edu,'astronomy',6/25/2006,5,Bice
1791062,Worth Larrett,194-334-7640,wlarrett1z@webs.com,'ecology',12/18/1974,5,Larrett
6042566,Sunshine Hollyard,458-864-4964,shollyard20@phpbb.com,'economics',1/12/2000,3,Hollyard
7704742,Darnell Theseira,575-907-4636,dtheseira21@g.co,'english',6/7/1969,2,Theseira
9390479,Priscilla Durdy,906-523-6136,pdurdy22@apple.com,'engineering',3/8/1987,1,Durdy
7205051,Debby La Torre,384-415-5866,dla23@ustream.tv,'neurology',8/20/1965,2,La Torre
2820748,Sheila-kathryn Matessian,569-823-1095,smatessian24@scientificamerican.com,'oncology',5/11/1995,3,Matessian
7222680,Joli Brevitt,355-459-9657,jbrevitt25@reddit.com,'theatre',2/14/1977,1,Brevitt
6630481,Betsy Schimpke,643-729-3005,bschimpke26@home.pl,'psychology',11/28/1962,4,Schimpke
6556021,Orel Grinnov,876-704-5560,ogrinnov27@typepad.com,'sociology',12/29/1967,2,Grinnov
8603160,Darcee Rainsbury,719-761-9092,drainsbury28@woothemes.com,'math',5/10/1973,3,Rainsbury
5357829,Gaile Elden,675-494-8989,gelden29@intel.com,'computer science',3/24/1964,4,Elden
8267491,Kira Rollason,533-387-3806,krollason2a@hatena.ne.jp,'anthropology',11/5/1973,2,Rollason
2507625,Becki Ambrosio,239-613-9699,bambrosio2b@economist.com,'art',10/30/1981,1,Ambrosio
4162236,Horton Guerreiro,627-899-8203,hguerreiro2c@pen.io,'history',2/10/2003,3,Guerreiro
2416181,Ernestine Baszkiewicz,953-228-0196,ebaszkiewicz2d@over-blog.com,'geographics',9/15/2006,3,Baszkiewicz
8859169,Yolanda Gorry,537-818-1017,ygorry2e@youtu.be,'biology',2/21/1993,3,Gorry
3018916,Billie Wentworth,821-436-8001,bwentworth2f@jigsy.com,'cardiology',8/9/1980,4,Wentworth
1704142,Agata Zappel,822-311-2830,azappel2g@ebay.co.uk,'chemistry',2/14/1979,2,Zappel
1959074,Phillip Yesipov,553-250-0398,pyesipov2h@marketwatch.com,'physics',10/29/1989,4,Yesipov
5343215,Easter Jermyn,392-565-4790,ejermyn2i@webs.com,'astronomy',11/14/2000,1,Jermyn
7785661,Danny Paolotto,509-970-3497,dpaolotto2j@mapquest.com,'ecology',8/4/1978,4,Paolotto
1534483,Mora Paiton,903-480-9993,mpaiton2k@myspace.com,'economics',6/12/1999,3,Paiton
8392145,Jean Garry,528-869-6707,jgarry2l@narod.ru,'english',12/30/2003,3,Garry
1209820,Risa Pittford,449-836-2792,rpittford2m@hexun.com,'engineering',8/20/1962,3,Pittford
6192230,Jed Crumbie,615-578-4391,jcrumbie2n@vkontakte.ru,'neurology',4/7/1970,4,Crumbie
8109170,Saree McKernan,251-586-2303,smckernan2o@msn.com,'oncology',4/30/1989,2,McKernan
6020232,Clarie Stoade,218-872-2801,cstoade2p@photobucket.com,'theatre',2/18/1969,3,Stoade
9142092,Burnaby Bailess,537-902-1966,bbailess2q@toplist.cz,'psychology',11/15/1972,4,Bailess
9902912,Ashbey Minucci,276-476-6862,aminucci2r@livejournal.com,'sociology',5/20/1985,1,Minucci
5959148,Letisha Presnell,540-517-7005,lpresnell2s@privacy.gov.au,'math',11/18/2001,4,Presnell
