phone_number,email,l_id,l_name,salary_per_month
902-787-3062x720,brettacevedo@example.com,4648949,Laura Jones,26278
(730)755-3844x532,alejandro16@example.org,1161454,Veronica Alexander,44189
6986079016,ewallace@example.org,7841544,Patrick Leon,26602
001-230-893-9447x85778,michael62@example.org,5789603,Kevin Wood,26074
(836)698-0532x8006,gary50@example.org,6820473,Melanie Brooks,31552
864.263.4310x27516,james40@example.com,5970291,Jade Robles,35749
(500)537-1860x2386,fparker@example.net,8658930,Gregory Davis,29442
810.750.6489,burkerichard@example.org,6091278,Brian Bender,22953
4103870286,waynecrane@example.net,6272248,Seth Buckley,37364
8039063789,dbeck@example.net,4692198,Elizabeth Hernandez,32301
+1-883-806-6641x5736,schultzmolly@example.net,1203133,Mark Morris,24271
247.692.9531x87411,zhughes@example.org,5114475,Sean Collins,34644
(808)322-2442x714,imiller@example.net,8842424,Renee Ruiz,22945
331-493-3844,fernandezjulie@example.net,3740256,Lisa Perkins,29480
001-484-299-1767x608,wburton@example.org,6766599,Justin Curry,36703
(256)231-1197,elizabeth64@example.net,5524961,Victoria Ford,26081
001-892-445-0486x2484,cindygood@example.org,3892873,Sarah Lee,39578
+1-494-742-3416x157,johnsoto@example.net,9628649,Haley Thomas,22665
8048514556,garzaalexa@example.net,2934383,Dominique Goodwin,28944
(711)741-5659x00567,jscott@example.org,8527360,Lisa Carpenter,40748
+1-801-278-8344x571,raymondmathews@example.com,8924027,Valerie Summers,21117
544-242-9344x618,greenanthony@example.net,5380293,Eric Huang,41895
(788)237-1695x5909,robert14@example.net,7921735,Karen Erickson,44080
6173669821,johnsonjoseph@example.org,8050852,John Smith,20024
+1-936-210-4706x381,patrickdanielle@example.org,8610779,Beth Anderson,36908
+1-889-980-2499x05464,bryan10@example.net,9647069,Jennifer Kirby,37432
(674)910-2081,simpsonjoshua@example.org,5088037,Joshua Simmons,27196
(755)718-5741,andersonedward@example.net,9361865,Donald Wade,41318
562.452.4029,lauren55@example.com,6916561,Darrell Brady,40244
+1-375-849-2406,martinezjohn@example.com,4008533,Ashley Ortega,37166
(315)397-7655,georgevasquez@example.org,7532823,Courtney Cook,22386
001-970-706-9521x498,amandajohnson@example.com,7818187,Timothy Kelley,23824
515-930-8411x59370,schmidttracey@example.net,8465021,Pedro Mendez,33160
581-313-9992x7891,barnesderek@example.net,6389194,Kyle Henry,26286
347-399-6053x51486,shirley20@example.org,8002639,George Shea,20266
(871)582-4028,christinecraig@example.net,7271709,Shane Ponce,20952
(453)840-3790x19679,robert23@example.net,5193984,Kimberly Banks,28304
