s_id,s_name,phone_number,email,birth_date,learning_year,d_name
4177835,Brian Parker,964-738-0573x80945,lisajohnson@example.com,1981-07-06,2,White
4571258,Kimberly Ramsey MD,5535688730,ppeterson@example.com,2000-01-26,1,Benitez
1850425,Adam Davis,(290)939-7428x7440,ryan35@example.net,1960-06-19,3,Stanley
8318103,Linda Hernandez,+1-227-693-1405x1110,thompsonwilliam@example.net,1958-07-31,5,Smith
3032991,Lindsey Hart,(722)844-4455,sarahsmith@example.net,1955-10-27,3,Davidson
4196975,Madison Lynn,001-491-770-8664x184,urussell@example.org,1979-12-28,2,Rowland
8286220,Olivia Stevens,634-989-4680x6631,rebecca54@example.com,1981-10-19,1,Graham
9395357,Richard Maynard,929.976.9724x209,amyramos@example.com,1990-12-01,5,Goodman
5645833,Debra Cooper,001-320-373-6789x970,mejiamicheal@example.net,1995-06-27,2,Fuentes
4675497,Jodi Estes,001-298-785-8513,richjoshua@example.com,1955-04-17,2,Wallace
6811430,Bruce Smith,316.833.9443,usmith@example.com,2004-09-27,4,Fuentes
2451648,Melissa Stewart,(527)916-0563x25597,james80@example.org,1961-01-11,2,Cordova
8739288,Samantha Wolfe,001-513-732-1840x361,nbenitez@example.org,2008-04-06,5,Chapman
6964762,Lisa Kramer,+1-329-427-1287x02796,hunterpaul@example.com,2002-09-26,4,Warner
4363088,Michael Carpenter,(449)607-4237x4635,jessicahudson@example.com,2001-01-02,3,Savage
2414707,Amanda Goodman,826-598-9795,michaelbird@example.net,1964-08-15,5,Weaver
9878161,Tyler Schaefer,(656)250-0138,nroberson@example.com,1966-12-17,1,Henderson
9508433,Kevin Decker,+1-375-419-3667x719,mendezdanielle@example.net,1996-09-28,1,Day
8048106,Patricia Green,(981)540-7834x555,john19@example.net,2009-03-19,3,Jacobs
4553503,Joseph Russell,957-604-6447x55788,jeremy94@example.net,1964-09-24,1,Greer
7947185,Deborah Jones,001-774-923-4952x71459,duranchristopher@example.org,1968-08-05,4,Fleming
6548677,Scott Henson,817.265.1784x9172,mary22@example.net,1988-11-20,3,Martin
3774981,Angel Holland,276-831-8156x920,rcarter@example.org,1986-06-26,1,Mata
3216027,Eric Allen,922-775-1762x466,stevensdanielle@example.org,2008-10-16,3,Bennett
8489445,Tyler Huynh,+1-952-315-5845,jack16@example.com,2006-04-12,2,Vaughn
2719573,Sarah Mcguire,(762)906-4987,david85@example.com,1972-10-26,3,Gomez
6412537,Vanessa Everett,970.242.9496x893,bhoward@example.net,1959-02-25,1,Diaz
8161621,Richard Church,001-263-903-1242x445,ethan05@example.org,1964-07-29,3,Decker
2116385,Anthony Jones,695-347-9562,hlevine@example.org,2006-10-11,5,Luna
8891491,Jessica Kim,001-634-383-6394x082,baldwinheather@example.org,1992-03-14,4,Santos
5791393,Todd Rodriguez,001-951-347-2426x680,sshannon@example.org,1980-09-14,2,Keller
9215700,Michael Pena,+1-206-246-0971x4266,singletonlori@example.org,1969-07-13,5,Murphy
3322475,Jon Hernandez,6672008540,april08@example.org,1984-10-13,4,Fitzgerald
1132538,Clayton Becker,274-632-5413x32329,vanderson@example.net,2005-01-07,5,Washington
3954980,Kathryn Mcdowell,(787)303-9025x92204,sharpbradley@example.net,1980-11-24,1,Dorsey
4217442,Victoria Ramos,484.456.5420,tdavis@example.org,1997-08-24,2,Murray
4598824,Robin Reed,236.707.9169,christopherwebster@example.com,1970-09-01,5,Bowers
3634943,Donna Everett,285-216-9964x69586,mooreandrew@example.com,1961-06-27,5,Price
9601012,Aaron Martinez,340-841-6675,sarah34@example.com,1957-04-18,3,Gomez
9013600,Edward Johnson,+1-503-938-6238x85684,angeladuffy@example.net,1999-01-25,2,Ortiz
1829309,Morgan Walls,001-457-806-8897x54769,csantos@example.net,1962-08-30,4,Macias
3741868,Michelle Zhang,001-993-934-9712x9771,sean50@example.net,1994-11-17,3,Mason
5741877,Patrick Davis,001-597-812-9653x944,aaronmartinez@example.org,1956-06-12,1,Pace
6778123,Jennifer Obrien,863.384.5627x840,twolfe@example.org,1985-04-09,3,Herman
9156801,Larry Paul,(750)596-0570x4344,brianfoster@example.org,2001-03-25,1,Kelly
5029611,Amber Schwartz,(306)482-5000,manuel07@example.net,1951-07-19,4,Green
7881453,Mackenzie Rios,+1-201-775-4922x868,floydstephanie@example.com,1965-08-31,3,Hoffman
5163242,Ashley Lee,430-659-3450,lindapugh@example.org,1961-01-16,4,Oneal
4599398,Brian Andrews,001-407-257-3423x653,thompsonbilly@example.net,1977-08-21,2,Vazquez
6757694,Abigail Sawyer,(351)502-7623x295,matthew73@example.com,1976-03-23,5,Compton
8395849,Paul Evans,7283204067,amandacruz@example.net,1980-03-16,2,Cortez
6530205,Joshua Jenkins,9157724405,umoore@example.com,1987-10-18,4,Church
7792566,Evan Wyatt,756-744-9750x532,bakercaroline@example.net,2003-10-21,1,Robles
9112083,Laurie Martin,909-245-4189x34384,wangjason@example.org,2006-03-31,3,Escobar
4571358,Lauren Davis,+1-991-221-1371,alexander90@example.org,1962-09-17,2,Boyd
7165558,Jeffery Davis,001-266-953-7170x7178,utaylor@example.com,1949-05-15,5,Gamble
6913889,Angela Holt,(555)941-3438x0309,kimberly88@example.net,1953-03-10,2,Monroe
8880176,Christine Flores MD,(228)375-6513,joan83@example.net,1964-08-05,2,Lawrence
9624789,Amber Hernandez,+1-959-476-6661x643,wrivera@example.org,1998-01-19,4,Olsen
1717528,Jessica Jones,8349790902,michael60@example.net,1959-06-15,2,Wall
9361674,Kathy Peck,(224)701-4147x96599,kimberlyrodriguez@example.org,1987-09-26,3,Castillo
3872352,Angela Roberts,(732)447-4226x3095,moliver@example.net,1971-08-27,5,Lambert
9803003,Nicholas Neal,7754212971,christinewood@example.net,1972-11-17,2,Mosley
3054962,Mr. Eugene Clark,(849)224-2171x8017,johnsondennis@example.net,2003-05-10,5,Howard
1229305,Brittany Murray,+1-378-743-2692x31957,monica81@example.com,1971-10-02,3,Sanchez
9449516,Garrett Jones,6329247771,fnovak@example.net,2002-06-07,4,Gamble
7667859,Melissa Johnson,001-204-460-7034x076,murraykevin@example.net,1988-10-30,4,Monroe
4647563,Tony Noble,001-810-862-6857x862,lmay@example.net,2009-08-23,2,Bridges
8589506,Jessica Andersen,849.337.7903x3040,mcguirechelsea@example.org,1948-08-31,3,Kline
4819779,Stanley Pittman,+1-575-990-8832x9685,chloehunt@example.com,1980-02-27,3,Keller
9189909,Ronald Hancock,662.401.0910,thomasmary@example.org,1963-10-20,5,Stevenson
5593833,Olivia Johnson,(483)368-9534,parsonskelsey@example.org,2002-01-10,2,Greer
7238824,Karen Adams,(975)582-3634,kevinjohnston@example.org,1952-09-20,2,Gibbs
3069364,Matthew Mcclain,001-357-918-9588x685,duane21@example.org,1954-06-09,3,Goodwin
4460578,Donald Weeks,792.656.3544,pmyers@example.org,1990-10-29,2,Mcdonald
5197160,Richard Bryan,001-828-346-1088x1038,nicholas94@example.org,1951-11-30,4,Riley
7385615,Ryan Barnes,+1-682-335-9069x21074,holly06@example.net,1975-12-16,4,Bowers
